file,duplicated_lines,ncloc,complexity,cognitive_complexity,functions
src/components/subjectsComponents/TeacherSearchDropdown.jsx,0,109,22,7,10
src/components/UsersLists/TeachersList.jsx,198,702,73,42,32
src/pages/UsersManagementPage/TeachersManagPage.jsx,0,21,4,1,3
src/components/pfaComponents/teacherSOutenacePlanning.jsx,0,146,19,7,6
src/components/skillsComponents/tooltip.jsx,0,30,2,1,1
src/components/UniversityYear,242,1610,234,171,97
src/services/UniversityYearServices/universityyear.service.js,0,34,6,3,3
src/pages/universityYearPage,0,13,1,0,1
src/pages/universityYearPage/UniversityYearPage.jsx,0,13,1,0,1
src/components/UniversityYear/UniversityYears.jsx,104,385,58,40,27
src/services/UniversityYearServices,0,47,8,4,4
src/services/updateplanninginternship/UpdateInternshipPlanning.service.js,0,28,2,2,2
src/services/updateplanninginternship,0,28,2,2,2
src/components/UniversityYear/UpgradeStudents.jsx,0,233,35,29,14
src/utils/useDeviceType.js,0,23,6,4,4
src/utils/useNotificationSocket.js,0,40,15,4,9
src/utils/userRoles.js,0,8,0,0,0
src/pages/usersListPage,0,9,1,0,1
src/components/UsersLists,432,1739,187,102,89
src/pages/UsersManagementPage,0,42,8,2,6
src/utils,0,105,29,17,14
